x,y,z
0.9,0.4,1.26096
1.0,0.4,0.732815
1.1,0.4,0.390413
1.2,0.4,0.189777
1.3,0.4,0.0838284
1.4,0.4,0.0335332
1.5,0.4,0.0121131
-1.5,0.5,0.0108003
-1.4,0.5,0.0296072
-1.3,0.5,0.0733746
-1.2,0.5,0.164876
-1.1,0.5,0.337089
-1.0,0.5,0.629617
-0.9,0.5,1.0794
-0.8,0.5,1.70742
-0.7,0.5,2.50635
-0.6,0.5,3.435
-0.5,0.5,4.42272
-0.4,0.5,5.38203
-0.3,0.5,6.2244
-0.2,0.5,6.87345
-0.1,0.5,7.27296
0.0,0.5,7.38993
0.1,0.5,7.21495
0.2,0.5,6.76213
0.3,0.5,6.0692
0.4,0.5,5.1968
0.5,0.5,4.22453
0.6,0.5,3.24194
0.7,0.5,2.33438
0.8,0.5,1.56743
0.9,0.5,0.975513
1.0,0.5,0.559573
1.1,0.5,0.294325
1.2,0.5,0.141309
1.3,0.5,0.0616826
1.4,0.5,0.0243976
1.5,0.5,0.0087195
-1.5,0.6,0.00722593
-1.4,0.6,0.0200591
-1.3,0.6,0.0503739
-1.2,0.6,0.114771
-1.1,0.6,0.238047
-1.0,0.6,0.451244
-0.9,0.6,0.785274
-0.8,0.6,1.26083
-0.7,0.6,1.87789
-0.6,0.6,2.60936
-0.5,0.6,3.40219
-0.4,0.6,4.18575
-0.3,0.6,4.88429
-0.2,0.6,5.42907
-0.1,0.6,5.76721
0.0,0.6,5.86661
0.1,0.6,5.71798
0.2,0.6,5.33523
0.3,0.6,4.75487
0.4,0.6,4.03344
0.5,0.6,3.24194
0.6,0.6,2.45614
0.7,0.6,1.74406
0.8,0.6,1.15403
0.9,0.6,0.70757
1.0,0.6,0.399851
1.1,0.6,0.207244
1.2,0.6,0.0980889
1.3,0.6,0.0422329
1.4,0.6,0.0164871
1.5,0.6,0.00581958
-1.5,0.7,0.00447401
-1.4,0.7,0.0125956
-1.3,0.7,0.0321011
-1.2,0.7,0.0742717
-1.1,0.7,0.156517
-1.0,0.7,0.301563
-0.9,0.7,0.533489
-0.8,0.7,0.870653
-0.7,0.7,1.31746
-0.6,0.7,1.85824
-0.5,0.7,2.45615
-0.4,0.7,3.05795
-0.3,0.7,3.60299
-0.2,0.7,4.03344
-0.1,0.7,4.30293
0.0,0.7,4.38248
0.1,0.7,4.26358
0.2,0.7,3.95897
0.3,0.7,3.50142
0.4,0.7,2.94017
0.5,0.7,2.33438
0.6,0.7,1.74406
0.7,0.7,1.21977
0.8,0.7,0.794328
0.9,0.7,0.479122
1.0,0.7,0.266344
1.1,0.7,0.135826
1.2,0.7,0.0632786
1.3,0.7,0.0268325
1.4,0.7,0.0103231
